EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	01:22:39	0	0.1000	0.024490794494523474	0.021072814241051674	0.6194	0.6194	0.6194	0.6194
2	01:22:42	0	0.1000	0.022077448190071562	0.02138078771531582	0.6645	0.6645	0.6645	0.6645
3	01:22:46	1	0.1000	0.02163800774763919	0.02055479772388935	0.6387	0.6387	0.6387	0.6387
4	01:22:47	2	0.1000	0.02111626385957837	0.021929124370217323	0.6258	0.6258	0.6258	0.6258
5	01:22:49	3	0.1000	0.02132875223597946	0.022655261680483818	0.4194	0.4194	0.4194	0.4194
6	01:22:50	4	0.1000	0.020607543992893523	0.025723300874233246	0.4	0.4	0.4	0.4
7	01:22:52	5	0.1000	0.02126259689954058	0.02111019566655159	0.5484	0.5484	0.5484	0.5484
8	01:22:54	0	0.1000	0.020564128277717694	0.018869781866669655	0.7419	0.7419	0.7419	0.7419
9	01:22:57	0	0.1000	0.020540539643273282	0.018624432384967804	0.7484	0.7484	0.7484	0.7484
10	01:23:01	1	0.1000	0.020011594974986103	0.01900292932987213	0.7226	0.7226	0.7226	0.7226
11	01:23:02	2	0.1000	0.02011696501165008	0.02018047869205475	0.6452	0.6452	0.6452	0.6452
12	01:23:04	3	0.1000	0.02008299688940329	0.019185077399015427	0.7097	0.7097	0.7097	0.7097
13	01:23:05	4	0.1000	0.020125396501564415	0.0182480551302433	0.7355	0.7355	0.7355	0.7355
14	01:23:07	0	0.1000	0.019768890573750787	0.018071524798870087	0.7548	0.7548	0.7548	0.7548
15	01:23:10	0	0.1000	0.019862824947989764	0.01799762062728405	0.7548	0.7548	0.7548	0.7548
16	01:23:12	0	0.1000	0.019593712308812468	0.017689133062958717	0.7613	0.7613	0.7613	0.7613
17	01:23:15	1	0.1000	0.01950815005518084	0.018257634714245796	0.7226	0.7226	0.7226	0.7226
18	01:23:17	2	0.1000	0.01963959851456647	0.017789799720048904	0.7419	0.7419	0.7419	0.7419
19	01:23:18	0	0.1000	0.0191918115391632	0.017550712451338768	0.7806	0.7806	0.7806	0.7806
20	01:23:22	1	0.1000	0.019661054346771952	0.01762423664331436	0.7419	0.7419	0.7419	0.7419
21	01:23:23	2	0.1000	0.019516854686695985	0.017331575974822044	0.7548	0.7548	0.7548	0.7548
22	01:23:25	3	0.1000	0.019255047424697056	0.021617330610752106	0.7032	0.7032	0.7032	0.7032
23	01:23:26	0	0.1000	0.019425053029118556	0.017343996092677116	0.7806	0.7806	0.7806	0.7806
24	01:23:28	1	0.1000	0.019404161301603953	0.017251096665859222	0.7677	0.7677	0.7677	0.7677
25	01:23:29	2	0.1000	0.01923017666995397	0.018770789727568626	0.7161	0.7161	0.7161	0.7161
26	01:23:31	3	0.1000	0.019101261536337365	0.019080860540270805	0.729	0.729	0.729	0.729
27	01:23:32	4	0.1000	0.01921658315251221	0.018204674124717712	0.6903	0.6903	0.6903	0.6903
28	01:23:34	5	0.1000	0.019112243531679646	0.016997190192341805	0.7742	0.7742	0.7742	0.7742
29	01:23:35	6	0.1000	0.019466993925131574	0.01732463575899601	0.7484	0.7484	0.7484	0.7484
30	01:23:37	1	0.0500	0.019093895655951737	0.017171306535601616	0.7419	0.7419	0.7419	0.7419
