EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	04:28:54	0	0.1000	0.047057781713477846	0.02541354112327099	0.6129	0.6129	0.6129	0.6129
2	04:28:58	0	0.1000	0.022780025125148907	0.02219930663704872	0.6774	0.6774	0.6774	0.6774
3	04:29:01	1	0.1000	0.021409803598969428	0.022196706384420395	0.671	0.671	0.671	0.671
4	04:29:03	0	0.1000	0.019731958243629527	0.019959157332777977	0.6839	0.6839	0.6839	0.6839
5	04:29:06	0	0.1000	0.019431352765116858	0.02052987366914749	0.729	0.729	0.729	0.729
6	04:29:10	0	0.1000	0.018711191946366494	0.019258296117186546	0.7548	0.7548	0.7548	0.7548
7	04:29:13	1	0.1000	0.01915846556446489	0.019384225830435753	0.7355	0.7355	0.7355	0.7355
8	04:29:15	0	0.1000	0.01788510599328046	0.018973609432578087	0.7613	0.7613	0.7613	0.7613
9	04:29:18	1	0.1000	0.017855839064372842	0.022366967052221298	0.5806	0.5806	0.5806	0.5806
10	04:29:20	2	0.1000	0.018085909826842814	0.019693993031978607	0.7161	0.7161	0.7161	0.7161
11	04:29:21	3	0.1000	0.01681583032964034	0.020054863765835762	0.7484	0.7484	0.7484	0.7484
12	04:29:22	0	0.1000	0.017028127782907916	0.02024560049176216	0.7742	0.7742	0.7742	0.7742
13	04:29:26	1	0.1000	0.016764984230129135	0.017070606350898743	0.7355	0.7355	0.7355	0.7355
14	04:29:27	2	0.1000	0.015856410369373276	0.01746331714093685	0.7613	0.7613	0.7613	0.7613
15	04:29:29	3	0.1000	0.016389741113694213	0.018188562244176865	0.7548	0.7548	0.7548	0.7548
16	04:29:30	4	0.1000	0.015647889830958304	0.017927369102835655	0.7419	0.7419	0.7419	0.7419
17	04:29:31	5	0.1000	0.015184546599521623	0.0169217586517334	0.7613	0.7613	0.7613	0.7613
18	04:29:33	6	0.1000	0.015008870509572792	0.017116663977503777	0.7548	0.7548	0.7548	0.7548
19	04:29:34	0	0.0500	0.01430010220085385	0.01637696661055088	0.7742	0.7742	0.7742	0.7742
20	04:29:36	1	0.0500	0.014545596799059729	0.01657920703291893	0.7677	0.7677	0.7677	0.7677
21	04:29:37	0	0.0500	0.013411421914453226	0.015838919207453728	0.7806	0.7806	0.7806	0.7806
22	04:29:41	0	0.0500	0.013300079229232311	0.015786126255989075	0.7806	0.7806	0.7806	0.7806
23	04:29:42	0	0.0500	0.013993536985271369	0.016272107139229774	0.7935	0.7935	0.7935	0.7935
24	04:29:45	1	0.0500	0.01372177724519909	0.016081517562270164	0.7742	0.7742	0.7742	0.7742
25	04:29:47	2	0.0500	0.013976489382943744	0.01672021858394146	0.7742	0.7742	0.7742	0.7742
26	04:29:48	3	0.0500	0.01335429595429009	0.017039721831679344	0.7613	0.7613	0.7613	0.7613
27	04:29:50	4	0.0500	0.01289134776943122	0.015845181420445442	0.7806	0.7806	0.7806	0.7806
28	04:29:51	5	0.0500	0.012672261569624912	0.015460372902452946	0.7742	0.7742	0.7742	0.7742
29	04:29:53	6	0.0500	0.012881916842696826	0.015954356640577316	0.7871	0.7871	0.7871	0.7871
30	04:29:54	1	0.0250	0.012174605745594876	0.015628233551979065	0.7806	0.7806	0.7806	0.7806
31	04:29:55	2	0.0250	0.012284360874152748	0.015435237437486649	0.7871	0.7871	0.7871	0.7871
32	04:29:57	3	0.0250	0.011555241419527911	0.014984898269176483	0.7742	0.7742	0.7742	0.7742
33	04:29:58	0	0.0250	0.011631418166619278	0.015594695694744587	0.7935	0.7935	0.7935	0.7935
34	04:30:00	1	0.0250	0.012989883371933022	0.015305724926292896	0.7677	0.7677	0.7677	0.7677
35	04:30:01	2	0.0250	0.011616959183744963	0.015711486339569092	0.7935	0.7935	0.7935	0.7935
36	04:30:03	3	0.0250	0.012421995208833343	0.015514321625232697	0.7871	0.7871	0.7871	0.7871
37	04:30:04	4	0.0250	0.011810296551409336	0.015126591548323631	0.7871	0.7871	0.7871	0.7871
38	04:30:06	5	0.0250	0.011843349017090533	0.01509366650134325	0.7871	0.7871	0.7871	0.7871
39	04:30:07	6	0.0250	0.011249852325962501	0.01539077889174223	0.7871	0.7871	0.7871	0.7871
40	04:30:08	1	0.0125	0.011602652432331488	0.015403013676404953	0.7871	0.7871	0.7871	0.7871
41	04:30:10	2	0.0125	0.011535365859211047	0.015418841503560543	0.7871	0.7871	0.7871	0.7871
42	04:30:11	3	0.0125	0.011508003026995827	0.015391792170703411	0.7871	0.7871	0.7871	0.7871
43	04:30:13	4	0.0125	0.010989313053297466	0.015222625806927681	0.7742	0.7742	0.7742	0.7742
44	04:30:14	5	0.0125	0.011227216830975875	0.015240204520523548	0.7806	0.7806	0.7806	0.7806
45	04:30:15	6	0.0125	0.01077468088866136	0.01521229837089777	0.7806	0.7806	0.7806	0.7806
46	04:30:17	1	0.0063	0.010845148233912099	0.015031576156616211	0.7806	0.7806	0.7806	0.7806
47	04:30:18	2	0.0063	0.011014978361917073	0.015298303216695786	0.7806	0.7806	0.7806	0.7806
48	04:30:20	3	0.0063	0.010714613730241648	0.015181740745902061	0.7742	0.7742	0.7742	0.7742
49	04:30:21	4	0.0063	0.010459122849041321	0.015249937772750854	0.7742	0.7742	0.7742	0.7742
50	04:30:23	5	0.0063	0.010630064060254997	0.01511834841221571	0.7742	0.7742	0.7742	0.7742
51	04:30:24	6	0.0063	0.010947087944110178	0.015066077001392841	0.7742	0.7742	0.7742	0.7742
52	04:30:25	1	0.0031	0.011492697715930433	0.01524956151843071	0.7806	0.7806	0.7806	0.7806
53	04:30:27	2	0.0031	0.010965151938276161	0.015172848477959633	0.7742	0.7742	0.7742	0.7742
54	04:30:28	3	0.0031	0.011042697859255428	0.015123384073376656	0.7742	0.7742	0.7742	0.7742
55	04:30:30	4	0.0031	0.011075449317201641	0.015141177922487259	0.7806	0.7806	0.7806	0.7806
56	04:30:31	5	0.0031	0.010753816150112795	0.015203544870018959	0.7806	0.7806	0.7806	0.7806
57	04:30:33	6	0.0031	0.010118443751540529	0.015085508115589619	0.7806	0.7806	0.7806	0.7806
58	04:30:34	1	0.0016	0.01093564234401199	0.015081540681421757	0.7806	0.7806	0.7806	0.7806
59	04:30:35	2	0.0016	0.010905044333847496	0.01511751115322113	0.7806	0.7806	0.7806	0.7806
60	04:30:37	0	0.0016	0.011030964366155653	0.015175880864262581	0.7935	0.7935	0.7935	0.7935
61	04:30:38	1	0.0016	0.010869877454366773	0.015118880197405815	0.7806	0.7806	0.7806	0.7806
62	04:30:40	2	0.0016	0.010765666081934461	0.015130316838622093	0.7806	0.7806	0.7806	0.7806
63	04:30:41	3	0.0016	0.010494947508351886	0.015116602182388306	0.7806	0.7806	0.7806	0.7806
64	04:30:43	4	0.0016	0.011012773300278384	0.015122213400900364	0.7806	0.7806	0.7806	0.7806
65	04:30:44	5	0.0016	0.010063083177834898	0.015098885633051395	0.7806	0.7806	0.7806	0.7806
66	04:30:45	6	0.0016	0.010413641541960936	0.015133905224502087	0.7871	0.7871	0.7871	0.7871
67	04:30:47	0	0.0008	0.010223017212562397	0.015128830447793007	0.7935	0.7935	0.7935	0.7935
68	04:30:48	1	0.0008	0.011089685007298669	0.015094254165887833	0.7806	0.7806	0.7806	0.7806
69	04:30:50	2	0.0008	0.01182324407730527	0.015112887136638165	0.7806	0.7806	0.7806	0.7806
70	04:30:51	3	0.0008	0.011168484230394083	0.015086972154676914	0.7806	0.7806	0.7806	0.7806
71	04:30:53	4	0.0008	0.00997648918192248	0.015072273090481758	0.7806	0.7806	0.7806	0.7806
72	04:30:54	5	0.0008	0.010630253774608028	0.015062988735735416	0.7806	0.7806	0.7806	0.7806
73	04:30:55	6	0.0008	0.010126784968016734	0.015077881515026093	0.7806	0.7806	0.7806	0.7806
74	04:30:57	1	0.0004	0.010225623899539939	0.01508212648332119	0.7806	0.7806	0.7806	0.7806
75	04:30:58	2	0.0004	0.010821903342406526	0.015089425258338451	0.7806	0.7806	0.7806	0.7806
76	04:31:00	3	0.0004	0.010396562575523748	0.015102801844477654	0.7806	0.7806	0.7806	0.7806
77	04:31:01	4	0.0004	0.0105190088294516	0.015099488198757172	0.7806	0.7806	0.7806	0.7806
78	04:31:03	5	0.0004	0.01066048490384972	0.015110780484974384	0.7871	0.7871	0.7871	0.7871
