EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	00:23:30	0	0.1000	0.03899361301221526	0.02192097343504429	0.6774	0.6774	0.6774	0.6774
2	00:23:51	0	0.1000	0.022120973230349616	0.021506235003471375	0.6774	0.6774	0.6774	0.6774
3	00:24:04	0	0.1000	0.022233174716664663	0.022066349163651466	0.7161	0.7161	0.7161	0.7161
4	00:24:25	0	0.1000	0.02170469858452988	0.021784434095025063	0.729	0.729	0.729	0.729
5	00:24:46	1	0.1000	0.02063764968709131	0.029523584991693497	0.3226	0.3226	0.3226	0.3226
6	00:24:59	0	0.1000	0.020771537379917274	0.019256548956036568	0.729	0.729	0.729	0.729
7	00:25:13	1	0.1000	0.019024865026535616	0.019696353003382683	0.7097	0.7097	0.7097	0.7097
8	00:25:27	0	0.1000	0.019292304392607196	0.019248586148023605	0.7355	0.7355	0.7355	0.7355
9	00:25:47	0	0.1000	0.018383724006576153	0.017634080722928047	0.7355	0.7355	0.7355	0.7355
10	00:26:01	0	0.1000	0.017898020090512553	0.017553815618157387	0.7484	0.7484	0.7484	0.7484
11	00:26:21	1	0.1000	0.017919193175056386	0.017428340390324593	0.7419	0.7419	0.7419	0.7419
12	00:26:35	0	0.1000	0.01797259912932424	0.01712728664278984	0.7548	0.7548	0.7548	0.7548
13	00:26:55	0	0.1000	0.01710545327795211	0.0173918679356575	0.7613	0.7613	0.7613	0.7613
14	00:27:16	1	0.1000	0.016780308143577383	0.019951770082116127	0.7032	0.7032	0.7032	0.7032
15	00:27:29	0	0.1000	0.016069753556823184	0.01695244014263153	0.7677	0.7677	0.7677	0.7677
16	00:27:50	1	0.1000	0.016225827955463682	0.01829516515135765	0.7419	0.7419	0.7419	0.7419
17	00:28:04	2	0.1000	0.015604028386001697	0.017536666244268417	0.7484	0.7484	0.7484	0.7484
18	00:28:18	3	0.1000	0.015645553889414944	0.022621264681220055	0.6258	0.6258	0.6258	0.6258
19	00:28:31	4	0.1000	0.01678308380309062	0.018470825627446175	0.729	0.729	0.729	0.729
20	00:28:45	5	0.1000	0.015230023424486762	0.016272272914648056	0.7484	0.7484	0.7484	0.7484
21	00:28:58	6	0.1000	0.016053185540827075	0.017300531268119812	0.7548	0.7548	0.7548	0.7548
22	00:29:12	0	0.0500	0.013424189610183454	0.015929527580738068	0.7871	0.7871	0.7871	0.7871
23	00:29:33	1	0.0500	0.013837545425534163	0.0163068026304245	0.7548	0.7548	0.7548	0.7548
24	00:29:47	2	0.0500	0.013267358654022902	0.015971247106790543	0.7677	0.7677	0.7677	0.7677
25	00:30:01	3	0.0500	0.013008497682134624	0.015721939504146576	0.7742	0.7742	0.7742	0.7742
26	00:30:14	4	0.0500	0.012827953030886791	0.01580626331269741	0.7613	0.7613	0.7613	0.7613
27	00:30:28	5	0.0500	0.013110401267981409	0.016009585931897163	0.7742	0.7742	0.7742	0.7742
28	00:30:42	6	0.0500	0.012025457830285307	0.0159514918923378	0.7806	0.7806	0.7806	0.7806
29	00:30:56	1	0.0250	0.012291892582105375	0.015642089769244194	0.7806	0.7806	0.7806	0.7806
30	00:31:09	2	0.0250	0.011873274399749854	0.01607493683695793	0.7871	0.7871	0.7871	0.7871
31	00:31:23	0	0.0250	0.011904317059280713	0.015895161777734756	0.7871	0.7871	0.7871	0.7871
32	00:31:37	1	0.0250	0.011230045997745599	0.015720926225185394	0.7677	0.7677	0.7677	0.7677
33	00:31:51	2	0.0250	0.011854293679301036	0.015563072636723518	0.7742	0.7742	0.7742	0.7742
34	00:32:04	3	0.0250	0.011340124801346833	0.01608491875231266	0.7548	0.7548	0.7548	0.7548
35	00:32:18	0	0.0250	0.011466601247078895	0.01571146957576275	0.7871	0.7871	0.7871	0.7871
36	00:32:32	1	0.0250	0.011786978673096278	0.016068341210484505	0.7742	0.7742	0.7742	0.7742
37	00:32:45	2	0.0250	0.010571124052196977	0.01572134904563427	0.7613	0.7613	0.7613	0.7613
38	00:32:59	3	0.0250	0.01099778399438372	0.015867171809077263	0.7548	0.7548	0.7548	0.7548
39	00:33:13	4	0.0250	0.011116561364203328	0.01604030281305313	0.7677	0.7677	0.7677	0.7677
40	00:33:26	5	0.0250	0.011167618454743527	0.01599564403295517	0.7742	0.7742	0.7742	0.7742
41	00:33:40	6	0.0250	0.010653258642958637	0.01575285755097866	0.7742	0.7742	0.7742	0.7742
42	00:33:54	1	0.0125	0.009713001190888651	0.01583780348300934	0.7742	0.7742	0.7742	0.7742
43	00:34:07	2	0.0125	0.010521748204155953	0.01605401560664177	0.7742	0.7742	0.7742	0.7742
44	00:34:21	3	0.0125	0.01011187831917343	0.015811821445822716	0.7613	0.7613	0.7613	0.7613
45	00:34:35	4	0.0125	0.009759708276260524	0.01593884639441967	0.7806	0.7806	0.7806	0.7806
46	00:34:48	5	0.0125	0.01050541395346894	0.015725940465927124	0.7677	0.7677	0.7677	0.7677
47	00:35:02	6	0.0125	0.010236776311536187	0.0159392561763525	0.7677	0.7677	0.7677	0.7677
48	00:35:15	1	0.0063	0.009928365929984225	0.015792308375239372	0.7742	0.7742	0.7742	0.7742
49	00:35:29	2	0.0063	0.009963967788587434	0.015776071697473526	0.7742	0.7742	0.7742	0.7742
50	00:35:43	3	0.0063	0.010010506650225686	0.015822231769561768	0.7871	0.7871	0.7871	0.7871
51	00:35:56	4	0.0063	0.009384731155715226	0.015882108360528946	0.7806	0.7806	0.7806	0.7806
