EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	15:36:30	0	0.1000	0.032662956644456675	0.02349909022450447	0.5613	0.5613	0.5613	0.5613
2	15:36:45	0	0.1000	0.022260080415913295	0.02181275561451912	0.5613	0.5613	0.5613	0.5613
3	15:36:58	1	0.1000	0.021702194226703796	0.02222142182290554	0.5613	0.5613	0.5613	0.5613
4	15:37:12	2	0.1000	0.021596347310092922	0.023175453767180443	0.5613	0.5613	0.5613	0.5613
5	15:37:26	3	0.1000	0.02124863259670808	0.023354457691311836	0.4387	0.4387	0.4387	0.4387
6	15:37:39	0	0.1000	0.02158833440053574	0.02135728858411312	0.6387	0.6387	0.6387	0.6387
7	15:37:54	1	0.1000	0.02103342504186418	0.021455980837345123	0.5871	0.5871	0.5871	0.5871
8	15:38:08	2	0.1000	0.020993313854406483	0.021750882267951965	0.5613	0.5613	0.5613	0.5613
9	15:38:22	0	0.1000	0.020811806200907886	0.020741457119584084	0.6452	0.6452	0.6452	0.6452
10	15:38:37	1	0.1000	0.02102195472060051	0.0222821906208992	0.529	0.529	0.529	0.529
11	15:38:51	2	0.1000	0.020702547763460245	0.02427854761481285	0.5677	0.5677	0.5677	0.5677
12	15:39:04	3	0.1000	0.02058619419106116	0.020279277116060257	0.6387	0.6387	0.6387	0.6387
13	15:39:18	4	0.1000	0.020854917538739415	0.020921269431710243	0.6	0.6	0.6	0.6
14	15:39:31	5	0.1000	0.02060452927297084	0.024098744615912437	0.5742	0.5742	0.5742	0.5742
15	15:39:45	6	0.1000	0.01999650712673902	0.02636268362402916	0.5742	0.5742	0.5742	0.5742
16	15:39:58	1	0.0500	0.019473205366668647	0.0200913418084383	0.6323	0.6323	0.6323	0.6323
17	15:40:12	0	0.0500	0.01967617238243963	0.019100714474916458	0.6581	0.6581	0.6581	0.6581
18	15:40:27	0	0.0500	0.0194352974330275	0.0190055500715971	0.6774	0.6774	0.6774	0.6774
19	15:40:43	1	0.0500	0.019235229757477375	0.02392827346920967	0.6065	0.6065	0.6065	0.6065
20	15:40:56	0	0.0500	0.019318103811677548	0.018861841410398483	0.6839	0.6839	0.6839	0.6839
21	15:41:11	1	0.0500	0.019006610323179563	0.019391503185033798	0.6516	0.6516	0.6516	0.6516
22	15:41:25	2	0.0500	0.0192076670165038	0.020987670868635178	0.6323	0.6323	0.6323	0.6323
23	15:41:38	3	0.0500	0.019234032422967378	0.019749673083424568	0.6452	0.6452	0.6452	0.6452
24	15:41:52	0	0.0500	0.019356462780897	0.01940627582371235	0.7032	0.7032	0.7032	0.7032
25	15:42:07	1	0.0500	0.01902361354293878	0.02217111736536026	0.5935	0.5935	0.5935	0.5935
26	15:42:21	2	0.0500	0.0190889396559653	0.018295802175998688	0.6903	0.6903	0.6903	0.6903
27	15:42:34	3	0.0500	0.019073406035148746	0.018566040322184563	0.671	0.671	0.671	0.671
28	15:42:48	0	0.0500	0.019057769935420323	0.017931412905454636	0.729	0.729	0.729	0.729
29	15:43:03	1	0.0500	0.01860517903103387	0.017986129969358444	0.7226	0.7226	0.7226	0.7226
30	15:43:17	2	0.0500	0.018786342984382316	0.018461020663380623	0.671	0.671	0.671	0.671
31	15:43:31	3	0.0500	0.018720499406336712	0.018059320747852325	0.6968	0.6968	0.6968	0.6968
