EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	22:22:13	0	0.1000	0.03601903243194958	0.023898664861917496	0.6581	0.6581	0.6581	0.6581
2	22:22:34	0	0.1000	0.022383013433975363	0.021499190479516983	0.6581	0.6581	0.6581	0.6581
3	22:22:48	0	0.1000	0.02211320654830741	0.021570611745119095	0.6774	0.6774	0.6774	0.6774
4	22:23:09	0	0.1000	0.02122886400811551	0.021408895030617714	0.7226	0.7226	0.7226	0.7226
5	22:23:30	1	0.1000	0.020747871340733165	0.01993088610470295	0.7161	0.7161	0.7161	0.7161
6	22:23:43	2	0.1000	0.020735734093557223	0.019260035827755928	0.7032	0.7032	0.7032	0.7032
7	22:23:57	0	0.1000	0.019305221677596674	0.020222490653395653	0.7419	0.7419	0.7419	0.7419
8	22:24:17	0	0.1000	0.018676340023733605	0.01726394146680832	0.7742	0.7742	0.7742	0.7742
9	22:24:38	1	0.1000	0.018772973915012467	0.018170544877648354	0.7226	0.7226	0.7226	0.7226
10	22:24:51	2	0.1000	0.017648100082769895	0.01879441924393177	0.7161	0.7161	0.7161	0.7161
11	22:25:05	3	0.1000	0.017806221706269887	0.017735740169882774	0.7355	0.7355	0.7355	0.7355
12	22:25:18	0	0.1000	0.017710834335099856	0.016344018280506134	0.7806	0.7806	0.7806	0.7806
13	22:25:38	0	0.1000	0.01721837025534225	0.016709033399820328	0.7871	0.7871	0.7871	0.7871
14	22:25:59	0	0.1000	0.01675452509118085	0.016840865835547447	0.7935	0.7935	0.7935	0.7935
15	22:26:20	1	0.1000	0.017176593047461747	0.018423395231366158	0.7097	0.7097	0.7097	0.7097
16	22:26:33	2	0.1000	0.01663325685266959	0.016731198877096176	0.7419	0.7419	0.7419	0.7419
17	22:26:47	0	0.1000	0.015979434013880165	0.015357169322669506	0.8065	0.8065	0.8065	0.8065
18	22:27:07	1	0.1000	0.016184202904163808	0.016726205125451088	0.7548	0.7548	0.7548	0.7548
19	22:27:21	0	0.1000	0.01603974097081422	0.01483351644128561	0.8194	0.8194	0.8194	0.8194
20	22:27:41	1	0.1000	0.01537018096541126	0.014049211516976357	0.8129	0.8129	0.8129	0.8129
21	22:27:55	2	0.1000	0.014794061616950984	0.013981706462800503	0.8129	0.8129	0.8129	0.8129
22	22:28:08	0	0.1000	0.015025879741142913	0.014426134526729584	0.8258	0.8258	0.8258	0.8258
23	22:28:29	1	0.1000	0.015552894767889939	0.01768605038523674	0.7419	0.7419	0.7419	0.7419
24	22:28:42	2	0.1000	0.015073374330954679	0.018824942409992218	0.7806	0.7806	0.7806	0.7806
25	22:28:56	3	0.1000	0.014510307223011245	0.014904572628438473	0.7871	0.7871	0.7871	0.7871
26	22:29:10	4	0.1000	0.014753824352619037	0.014291820116341114	0.8194	0.8194	0.8194	0.8194
27	22:29:23	0	0.1000	0.014065062238086665	0.014144711196422577	0.8258	0.8258	0.8258	0.8258
28	22:29:37	1	0.1000	0.013986443861388339	0.012695539742708206	0.8194	0.8194	0.8194	0.8194
29	22:29:50	0	0.1000	0.012925790888922555	0.013774579390883446	0.8387	0.8387	0.8387	0.8387
30	22:30:11	0	0.1000	0.01390016402003582	0.013239063322544098	0.8387	0.8387	0.8387	0.8387
31	22:30:25	1	0.1000	0.01347845076059833	0.014865337871015072	0.8387	0.8387	0.8387	0.8387
32	22:30:38	0	0.1000	0.01395812241276305	0.013105013407766819	0.8516	0.8516	0.8516	0.8516
33	22:30:59	1	0.1000	0.013203661998483832	0.013670524582266808	0.8323	0.8323	0.8323	0.8323
34	22:31:12	2	0.1000	0.012986451194856292	0.013691123574972153	0.8	0.8	0.8	0.8
35	22:31:26	3	0.1000	0.01220626554639752	0.017594071105122566	0.7484	0.7484	0.7484	0.7484
36	22:31:39	4	0.1000	0.012538458972805623	0.015007087960839272	0.7742	0.7742	0.7742	0.7742
37	22:31:53	5	0.1000	0.01231685955791446	0.014335478655993938	0.8129	0.8129	0.8129	0.8129
38	22:32:06	6	0.1000	0.012537462381433431	0.013857383280992508	0.8129	0.8129	0.8129	0.8129
39	22:32:20	1	0.0500	0.011237969639398859	0.012684040702879429	0.8323	0.8323	0.8323	0.8323
40	22:32:33	2	0.0500	0.010428710092508956	0.013138997368514538	0.8258	0.8258	0.8258	0.8258
41	22:32:47	3	0.0500	0.011165747059307249	0.01215061079710722	0.8258	0.8258	0.8258	0.8258
42	22:33:01	0	0.0500	0.010361136605178206	0.011379022151231766	0.8516	0.8516	0.8516	0.8516
43	22:33:14	1	0.0500	0.011038035528743686	0.01548569556325674	0.7806	0.7806	0.7806	0.7806
44	22:33:28	0	0.0500	0.009859625482764589	0.01204182580113411	0.8581	0.8581	0.8581	0.8581
45	22:33:49	1	0.0500	0.010472878000758487	0.012294336222112179	0.8387	0.8387	0.8387	0.8387
46	22:34:02	2	0.0500	0.010101640900518084	0.012446385808289051	0.8452	0.8452	0.8452	0.8452
47	22:34:16	3	0.0500	0.009611776682942014	0.012455671094357967	0.8452	0.8452	0.8452	0.8452
48	22:34:29	0	0.0500	0.009683139188975972	0.011700729839503765	0.871	0.871	0.871	0.871
49	22:34:49	1	0.0500	0.009480466751939346	0.012073427438735962	0.8452	0.8452	0.8452	0.8452
50	22:35:03	2	0.0500	0.008916534376461045	0.011790377087891102	0.8452	0.8452	0.8452	0.8452
51	22:35:16	3	0.0500	0.009960130702139915	0.012301946058869362	0.8387	0.8387	0.8387	0.8387
52	22:35:29	4	0.0500	0.009212955885967246	0.012769466266036034	0.8323	0.8323	0.8323	0.8323
53	22:35:43	5	0.0500	0.009090045914963176	0.012533492408692837	0.8387	0.8387	0.8387	0.8387
54	22:35:56	6	0.0500	0.009603260963491973	0.012610973790287971	0.8452	0.8452	0.8452	0.8452
55	22:36:10	1	0.0250	0.008300377945205075	0.0118826599791646	0.8323	0.8323	0.8323	0.8323
56	22:36:23	2	0.0250	0.008379026252591858	0.012459473684430122	0.8387	0.8387	0.8387	0.8387
57	22:36:36	3	0.0250	0.007840071576838003	0.012521497905254364	0.8387	0.8387	0.8387	0.8387
58	22:36:49	4	0.0250	0.007752967389983747	0.01203454751521349	0.8516	0.8516	0.8516	0.8516
59	22:37:03	5	0.0250	0.007652716324728167	0.011450649239122868	0.8581	0.8581	0.8581	0.8581
60	22:37:16	6	0.0250	0.008119755948051992	0.011916364543139935	0.8581	0.8581	0.8581	0.8581
61	22:37:30	1	0.0125	0.00778354015482131	0.011759898625314236	0.8452	0.8452	0.8452	0.8452
62	22:37:43	2	0.0125	0.007833550147289692	0.012163163162767887	0.8452	0.8452	0.8452	0.8452
63	22:37:56	3	0.0125	0.007896302290640542	0.011884072795510292	0.8452	0.8452	0.8452	0.8452
64	22:38:10	4	0.0125	0.00730451867144825	0.0121132992208004	0.8452	0.8452	0.8452	0.8452
65	22:38:23	5	0.0125	0.007862500241995713	0.011787199415266514	0.8452	0.8452	0.8452	0.8452
66	22:38:36	6	0.0125	0.007080663442183808	0.011763232760131359	0.8516	0.8516	0.8516	0.8516
67	22:38:50	1	0.0063	0.007054927623152134	0.011838936246931553	0.8516	0.8516	0.8516	0.8516
